TIME,FPS
5.038,6.55022
10.175,6.61865
15.297,6.63803
20.317,6.57371
25.337,6.57371
30.455,6.64322
35.585,6.62768
40.693,6.65623
45.831,6.61736
50.959,6.63027
56.07,6.65232
61.201,6.62639
66.211,6.58683
71.318,6.65753
76.448,6.62768
81.5621,6.64842
86.5861,6.56847
91.6101,6.56847
96.6261,6.57895
101.653,6.56455
106.673,6.57371
111.675,6.59736
116.679,6.59472
121.711,6.55803
126.722,6.58551
131.726,6.59472
136.751,6.56716
141.77,6.57501
146.778,6.58946
151.859,6.49478
156.891,6.55803
162.03,6.61607
167.079,6.53595
172.141,6.51916
177.239,6.47313
182.289,6.53465
187.427,6.42273
192.488,6.52045
197.631,6.61093
202.66,6.56194
207.691,6.55933
212.699,6.58946
217.732,6.55673
222.758,6.56586
227.803,6.54113
232.869,6.51402
237.893,6.56847
242.917,6.56847
247.938,6.5724
252.972,6.55542
257.993,6.5724
263.016,6.56978
268.042,6.56586
273.068,6.56586
278.086,6.57633
283.107,6.5724
288.137,6.56064
293.168,6.55933
298.191,6.56978
